,precision,recall,f1-score,support
Negative,0.7980769230769231,0.8137254901960784,0.8058252427184466,102.0
Neutral,0.2857142857142857,0.25,0.26666666666666666,40.0
Positive,0.8389261744966443,0.8561643835616438,0.847457627118644,146.0
accuracy,0.7569444444444444,0.7569444444444444,0.7569444444444444,0.7569444444444444
macro avg,0.6409057944292844,0.639963291252574,0.6399831788345858,288.0
weighted avg,0.7476237467323877,0.7569444444444444,0.752047413136355,288.0
